"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Álava","VALCARCE","CALLE DEIDA, 4, DURRUMA/SAN ROMAN DE SAN","€","€","1,309€"
"Álava","SHELL - GAMARRA","PORTAL DE GAMARRA, 7 (BILBAO), VITORIA-GASTEIZ","1,369€","1,469€","1,299€"
"Álava","SHELL","CALLE PORTAL DE BERGARA, 2, VITORIA-GASTEIZ","1,369€","1,509€","1,319€"
"Álava","SHELL","CARRETERA N-I KM. 323, RIBABELLOSA","1,389€","€","1,329€"
"Álava","REPSOL","CL TRIANAS, 17, VITORIA-GASTEIZ","1,359€","1,499€","1,279€"
"Álava","REPSOL","CL CASTILLA, 30, VITORIA-GASTEIZ","1,359€","1,479€","1,289€"
"Álava","REPSOL","CARRETERA N-124 KM. 35, SALINILLAS DE BURADON","1,359€","1,499€","1,279€"
"Álava","REPSOL","CR N-1, 350,5, LOPIDANA","1,379€","1,519€","1,319€"
"Álava","REPSOL","CARRETERA A-124 KM. 65, LAGUARDIA","1,329€","€","1,269€"
"Álava","REPSOL","AU AP-68, 36, ALTUBE","1,389€","1,529€","1,319€"
"Álava","REPSOL","CL PORTAL DE ELORRIAGA,17, VITORIA-GASTEIZ","1,359€","1,459€","1,309€"
"Álava","REPSOL","CALLE JOSE MARIA IPARRAGUIRRE, 19, VITORIA-GASTEIZ","1,359€","1,499€","1,279€"
"Álava","REPSOL","CARRETERA N-1 KM. 364,4, ELBURGO/BURGELU","1,389€","1,513€","1,319€"
"Álava","REPSOL","AV AVENIDA DEL CANTABRICO,8 -(PG PO, VITORIA-GASTEIZ","1,359€","1,459€","1,309€"
"Álava","REPSOL","CR N-104, 354, ARCAUTE","1,039€","1,158€","0,929€"
"Álava","REPSOL","CARRETERA N-1 KM. 354, ARCAUTE","1,359€","1,459€","1,309€"
"Álava","REPSOL","CR N-1, 350,5, LOPIDANA","1,379€","1,519€","1,319€"
"Álava","PREMIRA ENERGIA NORTE, S.L.","CL MANISITU, 9, ALEGRIA-DULANTZI","€","€","1,299€"
"Álava","PETROPRIX","CALLE PORTAL DE GAMARRA, 35, VITORIA-GASTEIZ","1,275€","€","1,174€"
"Álava","PETRONOR","AU AP-68, 63,5, IGAY","1,389€","1,529€","1,319€"
"Álava","PETRONOR","CL ARETA, 2, LAUDIO/LLODIO","1,349€","1,489€","1,289€"
"Álava","PETRONOR","CL PORTAL BETO¿O, 1, VITORIA-GASTEIZ","1,225€","1,325€","1,145€"
"Álava","PETRONOR","AU AP-68, 36, ALTUBE","1,389€","1,529€","1,319€"
"Álava","PETRONOR","AU AP-68, 63 D, IGAY","1,389€","1,529€","1,319€"
"Álava","PETRONOR","CR A-132 VITORIA-ESTELLA, 38,1, SANTA CRUZ CAMPEZO","1,339€","€","1,239€"
"Álava","PETRONOR","CALLE ALDAY, 4, AMURRIO","1,155€","1,265€","1,049€"
"Álava","PETRONOR","CALLE BETOÑO, 1, VITORIA-GASTEIZ","1,359€","1,459€","1,309€"
"Álava","PETRONOR","CL AVENIDA HUETOS, 81, VITORIA-GASTEIZ","1,359€","1,459€","1,299€"
"Álava","PETRONIEVES","CALLE TRATADO DE MAASTRICH, 1, NANCLARES DE LA OCA","€","€","1,176€"
"Álava","ORHELA","CALLE EGUILEOR, 1, ALANGUA","1,280€","€","1,125€"
"Álava","ONAINDIA","AVENIDA AVDA. DE LOS HUETOS, 56, VITORIA-GASTEIZ","1,365€","1,475€","1,305€"
"Álava","ONAINDIA","CALLE PORTAL DE ARRIAGA, 66, VITORIA-GASTEIZ","1,365€","1,475€","1,305€"
"Álava","IS-XXI","CALLE POLIGONO OKITURRI, 4, DURRUMA/SAN ROMAN DE SAN","1,381€","€","1,329€"
"Álava","IBAIA ENERGY","VIAL CTRA. N102 KM347, N102, ZUAZO DE VITORIA/ZUHATZU","1,309€","€","1,239€"
"Álava","GMOIL","CALLE HUETOS, S/N, VITORIA-GASTEIZ","0,969€","€","0,829€"
"Álava","GAS NATURAL FENOSA","CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2, NANCLARES DE LA OCA","€","€","€"
"Álava","GALP","CALLE ALTO DE ARMENTIA, 2, VITORIA-GASTEIZ","1,349€","1,499€","1,274€"
